"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"C1, C3";"CP_Elec_4x3.9";2;"C_Polarized";;;
2;"C2, C5, C6, C7, C9, C10, C11, C12, C13, C14, C15, C16, C17";"C_01005_0402Metric";13;"C";;;
3;"D1, D4, D7";"D_0805_2012Metric_Pad1.15x1.40mm_HandSolder";3;"D";;;
4;"D2";"D_SMA";1;"B120-E3";;;
5;"D5, D6, D8, D9";"LED_1206_3216Metric";4;"LED";;;
6;"D10";"D_1206_3216Metric_Pad1.42x1.75mm_HandSolder";1;"D";;;
7;"F1";"Fuse_0805_2012Metric_Pad1.15x1.40mm_HandSolder";1;"Polyfuse";;;
8;"F3";"Fuse_1206_3216Metric";1;"Polyfuse";;;
9;"FB1";"L_1210_3225Metric";1;"FerriteBead";;;
10;"J1";"PinSocket_1x08_P2.54mm_Vertical";1;"Power";;;
11;"J2";"PinSocket_1x10_P2.54mm_Vertical";1;"PWM";;;
12;"J3, J5";"PinSocket_1x08_P2.54mm_Vertical";2;"Analog";;;
13;"J4";"PinSocket_1x08_P2.54mm_Vertical";1;"PWM";;;
14;"J6";"PinSocket_1x08_P2.54mm_Vertical";1;"Communication";;;
15;"J7";"PinSocket_2x18_P2.54mm_Vertical";1;"Digital";;;
16;"J8";"BarrelJack_Horizontal";1;"Barrel_Jack_Switch";;;
17;"J9, J18";"PinHeader_2x03_P1.00mm_Vertical";2;"Conn_02x03_Odd_Even";;;
18;"J17";"USB_A_TE_292303-7_Horizontal";1;"USB_B_Micro";;;
19;"Q1";"SOT-23";1;"FDN340P";;;
20;"R2, R3, R4, R5, R7, R8, R9, R10, R11, R13, R17, R18, R19, R20, R21, R22, R23";"R_0805_2012Metric";17;"R";;;
21;"RV1, RV2";"Fuse_1206_3216Metric";2;"Varistor";;;
22;"SW1";"SW_Push_1P1T_NO_E-Switch_TL3301NxxxxxG";1;"SW_MEC_5E";;;
23;"U1";"SOT-223-3_TabPin2";1;"NCP1117-5.0_SOT223";;;
24;"U2";"TQFP-100_14x14mm_P0.5mm";1;"ATmega2560-16A";;;
25;"U3";"QFN-32-1EP_5x5mm_P0.5mm_EP3.45x3.45mm";1;"ATmega16U2-M";;;
26;"U4";"TSSOP-8_3x3mm_P0.65mm";1;"LMV358";;;
27;"U5";"SOT-23-5";1;"LP2985-3.3";;;
28;"Y1";"Crystal_SMD_HC49-SD";1;"Resonator";;;
29;"Y2";"Crystal_SMD_MicroCrystal_CM9V-T1A-2Pin_1.6x1.0mm_HandSoldering";1;"Crystal";;;
